,videoId,title,description,thumbnail,addedAt,viewCount,likeCount,commentCount
10,uW_YBLhxQz0,THIS WAS WILD 🔥 | Vash Level 2 Movie Review & Analysis,"One of the most anticipated remakes from Gujarati cinema is here in the form of #vashlevel2 , will #bollywood attempt a remake of this film, like they did with #shaitaan starring #ajaydevgan and #rmadhavan : It sure does feel like it? I hope you like the movie review of the film starring #jankibodiwala . The video shows:-

Vash Level 2 Movie Review & Analysis | Vash 2 | Bollywood Remake | Gujarati Movie Review | Janki Bodiwala | Hitu Kanodia | Hiten Kumar | Bollywood Movie Review

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/uW_YBLhxQz0/sddefault.jpg,2025-08-27T08:39:41Z,198855,5080,537
11,XDzoes1lZwk,When Bollywood Gives You Too Many Chances | The Flop Effect,"There is a lot of pressure on #bollywood directors to deliver box office hits and looking at how things have transpired with #ayanmukerji and his ventures #war2 and #brahmastra : It would be tough for people put faith in him again in massive projects. It made me wonder whether other directors find themselves in a similar predicament and it is so accurate, if one were to look at the careers of #anuragkashyap #ashutoshgowariker and several others! I hope you like the video on:-

Bollywood Directors Who Never Returned After Failed Projects | Bollywood's Movie Jail | Will They Ever Return? | Ayan Mukerji | War 2 | Brahmastra | Anurag Kashyap | Bombay Velvet | Ashutosh Gowarikar | Panipat 

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/XDzoes1lZwk/sddefault.jpg,2025-08-23T09:00:23Z,418549,8911,1452
12,wjgQdIeD8nM,Can This Nepo Baby Pull It Off? | The Ba***ds Of Bollywood | Netflix India,"There are many #bollywood launches that people look forward to but this project starring #aryankhan , the son of #srk with #netflixindia totally came out of syllabus! Will the star's son be able to pull off a wild ride with this web series? A satirical take on the film industry? I hope you like the vide on:-

The Ba***ds Of Bollywood Teaser Review & Analysis | Aryan Khan | Shahrukh Khan | Bollywood Film Industry | Netflix India

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/wjgQdIeD8nM/sddefault.jpg,2025-08-21T06:55:20Z,454699,10127,1024
13,A6krr9iC8OE,Top 15 Upcoming Indian Movies: My Only Hope In 2025 😭,"It's been a rather underwhelming first half of the year at the movies with #bollywood #telugu #tamil and #malayalam movies. Making me have all my hopes riding on some upcoming movies that include #ranveersingh s Dhurandhar, Rishab Shetty and his #kantara , the Gujarati sequel to Vash, Pawan Kalyan in Sujeeth's OG and Akshay Kumar and Arshad Warsi's #jollyllb3 and the Maddock horror comedy Thama with Ayushman and #rashmikamandanna . Will these movies deliver? I hope you like the video on:-

Top 15 Upcoming Indian Movies That Are My Only Hope In 2025 | ALPHA | KALAMKAVAL | 120 BAHADUR | LOKAH | VASH LEVEL 2 | THAMA | JOLLY LLB 3 | KAANTHA | OG | KANTARA | DHURANDHAR 

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/A6krr9iC8OE/sddefault.jpg,2025-08-20T08:18:27Z,257276,6743,980
14,g8pBtJo7SZE,War 2 Crashed But Why? | Spoiler Talk | The End Of The YRF Spy Universe?,"While we try to dissect what went wrong with #war2 : I thought it was important to dissect not its financial performance but what went wrong from a storyline POV in this film starring #hrithikroshan #ntr and #kiaraadvani . Is this a wakeup call for #yrf to change things up or a reminder to change gears and focus on other #bollywood projects? I guess we will wait and find out. I hope you like the video on:-

War 2 Spoiler Filled Movie Review & Analysis | Spoiler Talk And Discussion | Hrithik Roshan | Junior NTR | Kiara Advani | Ayan Mukerji | YRF

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/g8pBtJo7SZE/sddefault.jpg,2025-08-18T09:33:01Z,296359,6872,1859
15,d7FlddhrJ38,Why Aamir Why? 🙈 | Top 20 Worst Indian Movie Cameos That Were A Waste Of Time,"While sitting through Coolie and watching a #bollywood star like #aamirkhan waste himself in a Cameo, I thought of several of the instances where audiences were shocked on what was even the point of a star cameo in the film. This includes the like of #srk #salmankhan and even Hollywood celebrities like Sylvester Stallone and Mike Tyson. What compels some stars to even engage in these roles other than favours scares me. I hope you like the video on:-

Aamir Khan's Coolie Cameo Role | Top 20 Worst Indian Movie Cameos That Were A Waste Of Time | Aamir Khan | Salman Khan | Shahrukh Khan | Bobby Deol | Amitabh Bachchan 

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/d7FlddhrJ38/sddefault.jpg,2025-08-16T08:30:56Z,349016,8270,1139
16,bv6QOS57z5I,Coolie Movie Review & Analysis | Rajinikanth | Lokesh Kanagaraj,"The much awaited #coolie starring #rajinikanth and directed by #lokeshkanagaraj is finally here and this pan indian #tamil film is definitely not what I expected. The movie also stars #nagarjuna #shrutihaasan #upendra and #aamirkhan and #soubinshahir in supporting roles. I hope you like the video on:-

Coolie Movie Review & Analysis | Rajinikanth | Lokesh Kanagaraj | Nagarjuna | Soubin Shahir | Shruti Haasan | Upendra | Aamir Khan | South Indian Movie Review

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/bv6QOS57z5I/sddefault.jpg,2025-08-15T02:28:42Z,399276,8952,1832
17,DcLjtI1ZzK8,War 2 Movie Review & Analysis | Hrithik Roshan | Junior NTR | Kiara Advani,"I was genuinely rooting for this film to work! #war2 starring #hrithikroshan and #ntr in lead roles with supporting characters played by #kiaraadvani and several others is the new #yrf spy universe film from #bollywood that has really disappointed me to no degree. I hope you like the video on:-

War 2 Movie Review & Analysis | Hrithik Roshan | Junior NTR | Kiara Advani | YRF | Bollywood Movie Review | Spy Universe

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/DcLjtI1ZzK8/sddefault.jpg,2025-08-14T08:19:27Z,593097,10183,1796
18,jiowsNqZmCQ,5 Shocking Indian Movie Scenes You Won’t Believe Were Approved | MATLAB KUCH BHI,"The much awaited #matlabkuchbhi episode is finally here where we speak about some of the most absurd and funny sequences from #bollywood #telugu and #tamil cinema that we can't believe were approved. The video features movies starring #hrithikroshan #suriya and even some classics with #johnabraham . I hope you like the video on:-

5 Shocking Indian Movie Scenes You Won't Believe Were Approved | MATLAB KUCH BHI | Tried&Refused Productions | Censor Board Moments

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/jiowsNqZmCQ/sddefault.jpg,2025-08-12T03:51:06Z,371119,10379,910
19,gyNiiqqa6C8,Baaghi 4 TEASER Review | Tiger Shroff | Sanjay Dutt | Sonam Bajwa,"How do the makers of #baaghi4 even believe that such a product will entertain and interest audiences. The movie starring #tigershroff #sanjaydutt #sonambajwa and #harnaazsandhu looks like the commercial #bollywood slop that will crash and burn. I hope you like the video on:-

BAAGHI 4 TEASER REVIEW & ANALYSIS | TIGER SHROFF | SANJAY DUTT | SONAM BAJWA | HARNAAZ SANDHU | BOLLYWOOD TEASER REVIEW 

Intro Track: 
Music Provided by: NoCopyrightSounds
Watch: https://www.youtube.com/watch?v=q1ULJ...
Free Download & Stream:  http://ncs.io/feelgood

What did you think of the VIDEO?

Dont forget to smash the like button and Subscribe to the Channel for Weekly Content!

Stay tuned for more ahead!

Follow me on instagram:-

Anmol Jamwal: https://www.instagram.com/jammypants4/

Like our Facebook Page:-

https://www.facebook.com/TRP100/",https://i.ytimg.com/vi/gyNiiqqa6C8/sddefault.jpg,2025-08-11T12:35:56Z,307125,9612,1300
